City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
605,Road Town,VG,84.29,scattered clouds,18.4167,-64.6167,"ZINGARA 76ft Catamaran, full crew-all included"
606,Bay City,US,82.51,clear sky,43.5945,-83.8889,DoubleTree by Hilton Hotel Bay City - Riverfront
607,Gouyave,GD,81.37,few clouds,12.1646,-61.7296,Rumboat Retreat
610,Tabas,IR,89.82,clear sky,33.5959,56.9244,شرکت معماری مهراز شایگان آراد
611,Pochutla,MX,82.22,overcast clouds,15.7432,-96.4661,Hotel Posada San Jose
612,Covington,US,89.42,clear sky,39.0837,-84.5086,Cincinnati Marriott at RiverCenter
615,Islamkot,PK,86.43,overcast clouds,24.6997,70.177,Haji Hotel
618,Quemado De Guines,CU,84.42,scattered clouds,22.7853,-80.2536,Hotel Yara
619,Lewisporte,CA,76.71,overcast clouds,49.2499,-55.0482,Ocean View Bed & Breakfast
620,Thap Than,TH,79.72,light rain,15.4606,99.8917,ขวัญเรือน ขำสุข
622,Trairi,BR,77.81,clear sky,-3.2778,-39.2689,janelas do mar
623,Alghero,IT,77.09,clear sky,40.5589,8.3181,Smy Carlos V Alghero
626,San Ramon,US,86.27,clear sky,37.7799,-121.978,San Ramon Marriott
628,Zlitan,LY,80.02,clear sky,32.4674,14.5687,القسم الداخلي للجامعة الأسمرية
632,Barpathar,IN,78.49,broken clouds,26.3,93.8667,chandan jyoti borah
634,Nantucket,US,82.51,clear sky,41.2835,-70.0995,Jared Coffin House
636,Pyapon,MM,75.49,moderate rain,16.2833,95.6833,Aung Naing Thu Motel
637,Tallahassee,US,79.86,broken clouds,30.4383,-84.2807,Four Points by Sheraton Tallahassee Downtown
638,Coahuayana,MX,87.17,broken clouds,18.7333,-103.6833,El rranchito michuacan de ocampos
639,Kosai,JP,83.59,scattered clouds,34.7105,137.5316,Hotel Route Inn Hamanako
640,Sao Gabriel Da Cachoeira,BR,75.16,overcast clouds,-0.1303,-67.0892,Alarne - Área De Lazer Do Alto Rio Negro
641,Ishigaki,JP,86.13,scattered clouds,24.3448,124.1572,Hotel Peace Land Ishigakijima
643,Sola,VU,79.81,few clouds,-13.8833,167.55,Leumerus Bungalows
645,Lethem,GY,81.37,broken clouds,3.3803,-59.7968,Savannah Inn
646,Madras,IN,84.18,light rain,13.0878,80.2785,"Taj Connemara, Chennai"
647,Wad Rawah,SD,80.62,broken clouds,15.1603,33.1397,حوش جلي ودراوة
650,Mathbaria,BD,80.02,light rain,22.2876,89.9593,Shikdar Hotel
651,Bani,DO,82.85,overcast clouds,18.2833,-70.3333,Hospedaje Henriquez
653,Villa Rosario,PA,81.36,overcast clouds,8.7833,-79.8667,Hotel camping hospedaje villa Teddy
657,Wajima,JP,86.68,clear sky,37.4,136.9,Wajiima Onsen Yashio
659,Manokwari,ID,81.23,overcast clouds,-0.8667,134.0833,Swiss Belhotel Manokwari
662,Deogarh,IN,76.24,broken clouds,21.5333,84.7333,Amit Henej House
663,Teacapan,MX,87.33,overcast clouds,22.55,-105.75,Hotel los Mangos
667,Gushikawa,JP,85.62,clear sky,26.3544,127.8686,Kirari Guest House
673,Baoying,CN,84.27,overcast clouds,33.2292,119.3092,GreenTree Alliance Yangzhou Baoying Town Huaijiang Street East Taishan Road Hotel
677,Sao Felix Do Xingu,BR,82.69,broken clouds,-6.6447,-51.995,Rio Xingu Camping
684,Warri,NG,75.58,overcast clouds,5.5167,5.75,GT Guesthouse
685,Kupang,ID,75.92,few clouds,-10.1667,123.5833,Hotel On The Rock by Prasanthi
686,Chamba,IN,76.12,overcast clouds,32.5667,76.1333,NotOnMap - Rafi's House
687,Bairiki,KI,86.0,few clouds,1.3292,172.9752,Tarawa Boutique Hotel
688,Manzanillo,CU,84.58,broken clouds,20.3433,-77.1167,"HOSTAL ""THE YELLOW HOUSE"""
691,Sidhi,IN,80.55,few clouds,24.4167,81.8833,Kamdhenu Sweets
699,Miramar,US,86.0,few clouds,25.9873,-80.2323,Stadium Hotel
700,Hamilton,US,88.95,clear sky,39.1834,-84.5333,Six Acres Bed & Breakfast
702,Goderich,CA,77.32,overcast clouds,43.7501,-81.7165,Harmony Inn
