City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
282,Erzin,TR,2022-08-07 22:15:23,36.9559,36.2,77.43,85,74,4.68
283,Itarema,BR,2022-08-07 22:15:24,-2.9248,-39.9167,78.22,80,41,17.65
284,Chapais,CA,2022-08-07 22:15:24,49.7834,-74.8492,62.38,39,100,7.72
285,Korla,CN,2022-08-07 22:15:25,41.7597,86.1469,81.63,28,7,0.94
286,Bajah,YE,2022-08-07 22:15:25,13.8141,44.6301,78.73,64,99,4.5
287,Imeni Poliny Osipenko,RU,2022-08-07 22:15:26,52.4201,136.4853,55.67,99,100,9.64
288,Mindelo,CV,2022-08-07 22:15:26,16.8901,-24.9804,80.15,83,75,12.66
289,Valparaiso,CL,2022-08-07 22:15:27,-33.0393,-71.6273,55.63,91,20,5.75
290,Cootamundra,AU,2022-08-07 22:11:39,-34.65,148.0333,44.11,85,85,1.66
291,Reconquista,AR,2022-08-07 22:15:27,-29.15,-59.65,56.28,79,0,8.66
292,Paranhos,BR,2022-08-07 22:15:28,-23.8928,-55.4311,63.12,98,100,1.1
293,Naifaru,MV,2022-08-07 22:15:28,5.4444,73.3657,80.64,81,100,16.6
