City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
313,Port Lincoln,AU,-34.7333,135.8667,49.1,73,1,6.64,clear sky
314,Cherskiy,RU,68.75,161.3,46.44,55,95,2.98,overcast clouds
315,Paamiut,GL,61.994,-49.6678,43.18,89,3,18.43,clear sky
316,Sehithwa,BW,-20.4667,22.7167,63.95,32,5,5.66,clear sky
317,Owando,CG,-0.4819,15.8999,76.03,71,97,1.63,overcast clouds
318,Gao,ML,16.6362,1.637,89.62,38,94,18.19,overcast clouds
319,Muros,ES,42.7762,-9.0603,67.68,93,38,1.83,scattered clouds
320,Lavrentiya,RU,65.5833,-171.0,37.92,79,100,17.13,light rain
321,Port Blair,IN,11.6667,92.75,78.84,89,100,6.91,mist
322,Villa Carlos Paz,AR,-31.4241,-64.4978,50.4,44,100,3.0,overcast clouds
323,Vestmannaeyjar,IS,63.4427,-20.2734,51.8,86,81,18.77,broken clouds
324,Sergeyevka,KZ,53.88,67.4158,59.49,84,96,6.93,overcast clouds
325,Cassilandia,BR,-19.1133,-51.7342,81.09,31,99,3.4,overcast clouds
326,Wanning,CN,18.8003,110.3967,80.28,88,100,4.18,overcast clouds
327,Cocorit,MX,27.5833,-109.9667,89.94,51,72,7.16,broken clouds
328,Buala,SB,-8.145,159.5921,83.07,71,98,2.21,moderate rain
329,Moree,AU,-29.4667,149.85,51.87,66,0,8.55,clear sky
330,Drezdenko,PL,52.8383,15.8308,57.27,65,51,4.5,broken clouds
331,Inhambane,MZ,-23.865,35.3833,68.7,84,24,10.13,few clouds
332,Aksarka,RU,66.5606,67.7975,66.54,72,33,7.14,scattered clouds
333,Zemio,CF,5.0314,25.1361,67.44,99,94,3.69,light rain
334,Gongzhuling,CN,43.5008,124.8198,65.98,89,11,5.35,few clouds
335,Nipawin,CA,53.3668,-104.0009,75.24,57,0,12.66,clear sky
336,Esperance,AU,-33.8667,121.9,48.78,85,0,14.52,clear sky
337,Hurth,DE,50.8708,6.8676,63.41,63,0,3.44,clear sky
338,Skjervoy,NO,70.0311,20.9714,50.0,82,100,17.98,light rain
339,Leh,IN,34.1667,77.5833,64.11,56,47,4.63,scattered clouds
340,Kasungu,MW,-13.0333,33.4833,58.95,55,0,3.76,clear sky
341,Kabalo,CD,-6.05,26.9167,77.04,33,5,5.32,clear sky
342,Touros,BR,-5.1989,-35.4608,75.25,79,6,11.86,clear sky
343,Myra,IT,45.4358,12.1348,73.49,72,0,10.36,clear sky
344,Nyurba,RU,63.2842,118.3319,55.31,77,53,2.77,broken clouds
